Package,LibPath,Version,Priority,License,License_is_FOSS,NeedsCompilation,Built
commonmark,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.7,NA,BSD_2_clause + file LICENSE,NA,yes,3.5.1
compare,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.2-6,NA,GPL (>= 2),NA,no,3.5.0
comparison,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.0-4,NA,GPL-2,NA,no,3.5.0
complainr,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.1,NA,MIT + file LICENSE,NA,NA,3.2.4
config,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.3,NA,GPL-3,NA,no,3.5.0
contfrac,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1-12,NA,GPL-2,NA,yes,3.5.0
CORElearn,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.53.1,NA,GPL-3,NA,yes,3.5.0
corpcor,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.6.9,NA,GPL (>= 3),NA,no,3.5.0
corrplot,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.84,NA,GPL,NA,no,3.5.0
corrr,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.3.0,NA,MIT + file LICENSE,NA,no,3.5.1
couchDB,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.4.1,NA,AGPL-3,NA,no,3.5.0
countrycode,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1.0,NA,GPL-3,NA,no,3.5.0
covr,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,3.2.1,NA,GPL-3,NA,yes,3.5.1
cowplot,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.9.3,NA,GPL-2,NA,no,3.5.0
cowsay,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.7.0,NA,MIT + file LICENSE,NA,no,3.5.0
crayon,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.3.4,NA,MIT + file LICENSE,NA,no,3.5.0
crosstalk,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.0.0,NA,MIT + file LICENSE,NA,no,3.5.0
crul,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.6.0,NA,MIT + file LICENSE,NA,no,3.5.0
cubature,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.0.3,NA,GPL-3,NA,yes,3.5.0
Cubist,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.2.2,NA,GPL-3,NA,yes,3.5.0
curl,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,3.2,NA,MIT + file LICENSE,NA,yes,3.5.0
CVST,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.2-2,NA,GPL (>= 2.0),NA,no,3.5.0
d3Network,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.5.2.1,NA,GPL (>= 3),NA,no,3.5.0
d3scatter,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.1.0,NA,GPL (>=3),NA,NA,3.4.3
Daim,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1.0,NA,GPL-2,NA,yes,3.5.0
data.table,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.11.8,NA,MPL-2.0 | file LICENSE,NA,yes,3.5.0
dataPreparation,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.3.8,NA,GPL-3 | file LICENSE,NA,no,3.5.1
date,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.2-38,NA,GPL-2,NA,yes,3.5.0
DBI,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.0.0,NA,LGPL (>= 2),NA,no,3.5.0
dbplyr,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.2.2,NA,MIT + file LICENSE,NA,no,3.5.0
ddalpha,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.3.7,NA,GPL-2,NA,yes,3.5.0
debug,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.3.1,NA,GPL (>= 2),NA,NA,3.4.1
debugme,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1.0,NA,MIT + file LICENSE,NA,no,3.5.0
deldir,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.1-15,NA,GPL (>= 2),NA,yes,3.5.1
dendextend,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.9.0,NA,GPL-2 | GPL-3,NA,no,3.5.1
DEoptimR,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.0-8,NA,GPL (>= 2),NA,no,3.5.0
